database_row,knot,knotinfo_name,dt_name,alternating,crossing_number,input_interval,certified_lower_bound,output_interval,consequence,signature,determinant,seifert_size,algebraic_unknotting_in_workbook,already_implied_by_workbook,kind,field,field_order,prime,specialization,minimal_polynomial,nullity
11055,13n3197,13n_3197,13n_3197,N,13,"[1,2]",2,2,exact u=2,2,39,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11056,13n3198,13n_3198,13n_3198,N,13,"[1,2]",2,2,exact u=2,2,171,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11084,13n3226,13n_3226,13n_3226,N,13,"[1,2]",2,2,exact u=2,2,55,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11090,13n3232,13n_3232,13n_3232,N,13,"[1,2]",2,2,exact u=2,-2,27,16,,False,scalar,F_3,3,3,2,x-2,2
11122,13n3264,13n_3264,13n_3264,N,13,"[1,2]",2,2,exact u=2,2,63,12,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11130,13n3272,13n_3272,13n_3272,N,13,"[1,2]",2,2,exact u=2,0,9,12,,False,scalar,F_3,3,3,2,x-2,2
11157,13n3299,13n_3299,13n_3299,N,13,"[1,2]",2,2,exact u=2,2,99,12,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11192,13n3334,13n_3334,13n_3334,N,13,"[1,2]",2,2,exact u=2,2,79,26,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11210,13n3352,13n_3352,13n_3352,N,13,"[1,2]",2,2,exact u=2,-2,99,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11211,13n3353,13n_3353,13n_3353,N,13,"[1,2]",2,2,exact u=2,0,117,16,,False,scalar,F_3,3,3,2,x-2,2
11215,13n3357,13n_3357,13n_3357,N,13,"[1,2]",2,2,exact u=2,-2,171,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11216,13n3358,13n_3358,13n_3358,N,13,"[1,2]",2,2,exact u=2,2,99,16,,False,scalar,F_3,3,3,2,x-2,2
11226,13n3368,13n_3368,13n_3368,N,13,"[1,2]",2,2,exact u=2,-2,219,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11247,13n3389,13n_3389,13n_3389,N,13,"[1,2]",2,2,exact u=2,2,171,14,,False,scalar,F_3,3,3,2,x-2,2
11253,13n3395,13n_3395,13n_3395,N,13,"[1,2]",2,2,exact u=2,0,129,10,,False,quadratic,F_9,9,3,x,x^2+1,2
11254,13n3396,13n_3396,13n_3396,N,13,"[1,2]",2,2,exact u=2,0,113,10,,False,quadratic,F_9,9,3,x,x^2+1,2
11279,13n3421,13n_3421,13n_3421,N,13,"[1,3]",2,"[2,3]",improved,-2,55,16,,False,quadratic,F_9,9,3,x,x^2+1,2
11281,13n3423,13n_3423,13n_3423,N,13,"[1,2]",2,2,exact u=2,0,229,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11293,13n3435,13n_3435,13n_3435,N,13,"[1,2]",2,2,exact u=2,-2,195,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11306,13n3448,13n_3448,13n_3448,N,13,"[1,2]",2,2,exact u=2,0,161,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11315,13n3457,13n_3457,13n_3457,N,13,"[1,2]",2,2,exact u=2,0,9,10,,False,scalar,F_3,3,3,2,x-2,2
11318,13n3460,13n_3460,13n_3460,N,13,"[1,2]",2,2,exact u=2,0,189,18,,False,scalar,F_3,3,3,2,x-2,2
11344,13n3486,13n_3486,13n_3486,N,13,"[1,2]",2,2,exact u=2,-2,187,14,,False,quadratic,F_25,25,5,x,x^2+x+1,2
11354,13n3496,13n_3496,13n_3496,N,13,"[1,2]",2,2,exact u=2,-2,27,28,,False,scalar,F_3,3,3,2,x-2,2
11363,13n3505,13n_3505,13n_3505,N,13,"[1,3]",2,"[2,3]",improved,0,81,28,,False,scalar,F_3,3,3,2,x-2,2
11365,13n3507,13n_3507,13n_3507,N,13,"[1,3]",2,"[2,3]",improved,-2,75,18,,False,scalar,F_5,5,5,4,x-4,2
11382,13n3524,13n_3524,13n_3524,N,13,"[1,3]",2,"[2,3]",improved,-2,63,18,,False,scalar,F_3,3,3,2,x-2,2
11384,13n3526,13n_3526,13n_3526,N,13,"[1,2]",2,2,exact u=2,-2,63,18,,False,scalar,F_3,3,3,2,x-2,2
11387,13n3529,13n_3529,13n_3529,N,13,"[1,2]",2,2,exact u=2,2,63,18,,False,scalar,F_3,3,3,2,x-2,2
11393,13n3535,13n_3535,13n_3535,N,13,"[1,2]",2,2,exact u=2,0,169,10,,False,scalar,F_7,7,7,2,x-2,2
11395,13n3537,13n_3537,13n_3537,N,13,"[1,2]",2,2,exact u=2,0,105,14,,False,quadratic,F_9,9,3,x,x^2+1,2
11406,13n3548,13n_3548,13n_3548,N,13,"[1,2]",2,2,exact u=2,-2,27,30,,False,scalar,F_3,3,3,2,x-2,2
11429,13n3571,13n_3571,13n_3571,N,13,"[1,2]",2,2,exact u=2,0,9,18,,False,scalar,F_3,3,3,2,x-2,2
11433,13n3575,13n_3575,13n_3575,N,13,"[1,2]",2,2,exact u=2,0,121,28,,False,scalar,F_11,11,11,10,x-10,2
11444,13n3586,13n_3586,13n_3586,N,13,"[1,2]",2,2,exact u=2,2,231,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11468,13n3610,13n_3610,13n_3610,N,13,"[1,2]",2,2,exact u=2,2,63,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11471,13n3613,13n_3613,13n_3613,N,13,"[1,2]",2,2,exact u=2,-2,155,16,,False,extension,F_81,81,3,x,x^4+2*x^3+x^2+2*x+1,2
11472,13n3614,13n_3614,13n_3614,N,13,"[1,2]",2,2,exact u=2,0,153,14,,False,scalar,F_5,5,5,2,x-2,2
11499,13n3641,13n_3641,13n_3641,N,13,"[1,2]",2,2,exact u=2,2,27,12,,False,scalar,F_3,3,3,2,x-2,2
11509,13n3651,13n_3651,13n_3651,N,13,"[1,2]",2,2,exact u=2,0,225,16,,False,scalar,F_5,5,5,4,x-4,2
11515,13n3657,13n_3657,13n_3657,N,13,"[1,2]",2,2,exact u=2,2,219,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
