knot,crossing_number,unknotting_number,determinant,signature,volume,jones_vector,alexander_vector,pd
8_10,8,2,27,2,8.6511485580,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[0,6,1,-3,6,-7,6,-3,1]","[[2,14,3,13],[4,9,5,10],[6,11,7,12],[8,15,9,16],[10,5,11,6],[12,2,13,1],[14,7,15,8],[16,4,1,3]]"
8_8,8,2,25,0,7.8013412244,"[-5,3,-1,2,-3,4,-4,5,-3,2,-1]","[0,4,2,-6,9,-6,2]","[[1,7,2,6],[3,12,4,13],[5,9,6,8],[7,3,8,2],[9,16,10,1],[11,14,12,15],[13,4,14,5],[15,10,16,11]]"
10_129,10,1,25,0,8.9015166372,"[-3,5,-1,2,-3,5,-4,4,-3,2,-1]","[0,4,2,-6,9,-6,2]","[[1,7,2,6],[3,17,4,16],[5,9,6,8],[7,3,8,2],[10,19,11,20],[12,17,13,18],[14,9,15,10],[15,5,16,4],[18,11,19,12],[20,13,1,14]]"
8_16,8,2,35,2,10.5790219168,"[-6,2,-1,3,-5,6,-6,6,-4,3,-1]","[0,6,1,-4,8,-9,8,-4,1]","[[2,7,3,8],[4,10,5,9],[6,1,7,2],[8,14,9,13],[10,15,11,16],[12,6,13,5],[14,3,15,4],[16,11,1,12]]"
10_156,10,1,35,2,11.1633906421,"[-6,2,-1,3,-5,6,-6,6,-4,3,-1]","[0,6,1,-4,8,-9,8,-4,1]","[[1,13,2,12],[3,8,4,9],[5,14,6,15],[7,18,8,19],[10,15,11,16],[11,1,12,20],[13,6,14,7],[16,9,17,10],[17,4,18,5],[19,3,20,2]]"
13n_585,13,1,39,-2,11.6241421959,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[0,6,1,-4,9,-11,9,-4,1]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[4,13,5,14],[12,5,13,6],[8,15,9,16],[20,10,21,9],[17,10,18,11],[11,23,12,22],[14,25,15,26],[21,17,22,16],[18,24,19,23],[24,20,25,19]]"
