knot,crossing_number,input_interval,signature_input,mirrored_to_positive_signature,determinant,goeritz_rank,m_G_zero,m_Q_zero,candidate_count,candidate_parameters,inequality_ok_for_all_candidates,congruence_ok_for_all_candidates,obstructs_u_2,new_interval,zero_energy,zero_characteristic_parity,goeritz_matrix,pd_notation
13a_457,13,"[2,3]",4,False,137,4,1,-1,2,"[{""m1"":2,""m2"":24,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":47,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,24,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":12,""m2"":14,""a"":11,""two_m1_minus_1"":23,""two_m2_minus_1"":27,""matrix"":[[12,1,11,0],[1,2,0,0],[11,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,0,1,1]","[[8,-1,-5,-1],[-1,2,0,0],[-5,0,9,-2],[-1,0,-2,3]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[15,4,16,5],[5,16,6,17],[17,8,18,9],[9,18,10,19],[19,10,20,11],[11,20,12,21],[21,12,22,13],[13,25,14,24],[23,15,24,14],[25,22,26,23]]"
13a_569,13,"[2,3]",4,False,241,5,1,-1,3,"[{""m1"":4,""m2"":18,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":35,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,18,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":16,""a"":5,""two_m1_minus_1"":11,""two_m2_minus_1"":31,""matrix"":[[6,1,5,0],[1,2,0,0],[5,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":12,""a"":7,""two_m1_minus_1"":19,""two_m2_minus_1"":23,""matrix"":[[10,1,7,0],[1,2,0,0],[7,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,1,0,1]","[[6,-1,-2,0,-1],[-1,2,0,0,0],[-2,0,7,-1,-2],[0,0,-1,2,-1],[-1,0,-2,-1,4]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,4,16,5],[5,16,6,17],[9,7,10,6],[17,10,18,11],[11,22,12,23],[21,12,22,13],[13,18,14,19],[25,14,26,15],[19,25,20,24],[23,21,24,20]]"
13a_571,13,"[2,3]",4,False,249,7,1,-1,4,"[{""m1"":2,""m2"":42,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":83,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":1,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,1,0],[1,2,0,0],[1,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":10,""a"":3,""two_m1_minus_1"":15,""two_m2_minus_1"":19,""matrix"":[[8,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":22,""m2"":22,""a"":20,""two_m1_minus_1"":43,""two_m2_minus_1"":43,""matrix"":[[22,1,20,0],[1,2,0,0],[20,0,22,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,11,"[0,1,1,1,0,0,1]","[[5,-1,0,-1,0,0,-1],[-1,2,0,0,0,0,0],[0,0,5,0,-1,-2,0],[-1,0,0,2,-1,0,0],[0,0,-1,-1,2,0,0],[0,0,-2,0,0,3,-1],[-1,0,0,0,0,-1,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,4,16,5],[5,16,6,17],[9,7,10,6],[19,10,20,11],[11,18,12,19],[17,12,18,13],[13,22,14,23],[23,14,24,15],[25,20,26,21],[21,24,22,25]]"
13a_574,13,"[2,3]",4,False,273,5,1,-1,4,"[{""m1"":2,""m2"":46,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":91,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,46,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":20,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":39,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,20,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":12,""m2"":12,""a"":8,""two_m1_minus_1"":23,""two_m2_minus_1"":23,""matrix"":[[12,1,8,0],[1,2,0,0],[8,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":24,""m2"":24,""a"":22,""two_m1_minus_1"":47,""two_m2_minus_1"":47,""matrix"":[[24,1,22,0],[1,2,0,0],[22,0,24,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,1,1]","[[7,-1,0,-3,-1],[-1,2,0,0,0],[0,0,5,-1,-2],[-3,0,-1,4,0],[-1,0,-2,0,3]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,5,16,4],[5,15,6,14],[9,7,10,6],[19,10,20,11],[11,20,12,21],[21,12,22,13],[13,18,14,19],[23,16,24,17],[17,24,18,25],[25,22,26,23]]"
13a_586,13,"[2,3]",4,False,253,7,1,-1,2,"[{""m1"":6,""m2"":12,""a"":0,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,0,0],[1,2,0,0],[0,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":64,""m2"":64,""a"":63,""two_m1_minus_1"":127,""two_m2_minus_1"":127,""matrix"":[[64,1,63,0],[1,2,0,0],[63,0,64,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,11,"[0,1,1,1,0,0,1]","[[5,-1,0,-1,0,0,-1],[-1,2,0,0,0,0,0],[0,0,3,0,0,-1,0],[-1,0,0,4,-2,-1,0],[0,0,0,-2,3,0,-1],[0,0,-1,-1,0,2,0],[-1,0,0,0,-1,0,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,4,16,5],[5,16,6,17],[9,7,10,6],[19,10,20,11],[11,22,12,23],[23,12,24,13],[13,18,14,19],[17,14,18,15],[25,20,26,21],[21,24,22,25]]"
13a_594,13,"[2,3]",4,False,249,5,1,-1,4,"[{""m1"":2,""m2"":42,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":83,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":1,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,1,0],[1,2,0,0],[1,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":10,""a"":3,""two_m1_minus_1"":15,""two_m2_minus_1"":19,""matrix"":[[8,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":22,""m2"":22,""a"":20,""two_m1_minus_1"":43,""two_m2_minus_1"":43,""matrix"":[[22,1,20,0],[1,2,0,0],[20,0,22,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,1,1,0]","[[8,-1,0,-3,-2],[-1,2,0,0,0],[0,0,3,0,-1],[-3,0,0,4,-1],[-2,0,-1,-1,4]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,4,16,5],[5,16,6,17],[9,7,10,6],[21,10,22,11],[11,22,12,23],[23,12,24,13],[13,20,14,21],[17,14,18,15],[25,19,26,18],[19,25,20,24]]"
13a_596,13,"[2,3]",4,False,245,5,1,-1,5,"[{""m1"":2,""m2"":42,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":83,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":18,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":35,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,18,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":12,""a"":5,""two_m1_minus_1"":15,""two_m2_minus_1"":23,""matrix"":[[8,1,5,0],[1,2,0,0],[5,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":14,""m2"":14,""a"":11,""two_m1_minus_1"":27,""two_m2_minus_1"":27,""matrix"":[[14,1,11,0],[1,2,0,0],[11,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":62,""m2"":62,""a"":61,""two_m1_minus_1"":123,""two_m2_minus_1"":123,""matrix"":[[62,1,61,0],[1,2,0,0],[61,0,62,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,1,1,0]","[[6,-1,0,-1,-2],[-1,2,0,0,0],[0,0,5,0,-3],[-1,0,0,2,-1],[-2,0,-3,-1,6]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,4,16,5],[5,16,6,17],[9,7,10,6],[23,10,24,11],[11,22,12,23],[17,12,18,13],[13,18,14,19],[19,14,20,15],[25,21,26,20],[21,25,22,24]]"
13a_601,13,"[2,3]",4,False,245,5,1,-1,5,"[{""m1"":2,""m2"":42,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":83,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":18,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":35,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,18,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":12,""a"":5,""two_m1_minus_1"":15,""two_m2_minus_1"":23,""matrix"":[[8,1,5,0],[1,2,0,0],[5,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":14,""m2"":14,""a"":11,""two_m1_minus_1"":27,""two_m2_minus_1"":27,""matrix"":[[14,1,11,0],[1,2,0,0],[11,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":62,""m2"":62,""a"":61,""two_m1_minus_1"":123,""two_m2_minus_1"":123,""matrix"":[[62,1,61,0],[1,2,0,0],[61,0,62,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,1,1,0]","[[6,-1,0,-3,0],[-1,2,0,0,0],[0,0,5,-2,-1],[-3,0,-2,6,-1],[0,0,-1,-1,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,4,16,5],[5,16,6,17],[9,7,10,6],[23,10,24,11],[11,24,12,25],[25,12,26,13],[13,20,14,21],[19,14,20,15],[17,23,18,22],[21,19,22,18]]"
13a_617,13,"[2,3]",4,False,253,6,1,-1,2,"[{""m1"":6,""m2"":12,""a"":0,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,0,0],[1,2,0,0],[0,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":64,""m2"":64,""a"":63,""two_m1_minus_1"":127,""two_m2_minus_1"":127,""matrix"":[[64,1,63,0],[1,2,0,0],[63,0,64,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,10,"[0,1,0,1,1,0]","[[4,-1,-1,-1,0,0],[-1,2,0,0,0,0],[-1,0,3,-1,0,0],[-1,0,-1,6,0,-1],[0,0,0,0,2,-1],[0,0,0,-1,-1,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,5,16,4],[5,24,6,25],[17,6,18,7],[9,18,10,19],[19,10,20,11],[11,22,12,23],[21,12,22,13],[13,20,14,21],[23,14,24,15],[25,17,26,16]]"
13a_618,13,"[2,3]",4,False,337,6,1,-1,2,"[{""m1"":6,""m2"":16,""a"":1,""two_m1_minus_1"":11,""two_m2_minus_1"":31,""matrix"":[[6,1,1,0],[1,2,0,0],[1,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":12,""a"":5,""two_m1_minus_1"":19,""two_m2_minus_1"":23,""matrix"":[[10,1,5,0],[1,2,0,0],[5,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,10,"[0,1,0,1,1,0]","[[4,-1,-1,-1,0,0],[-1,2,0,0,0,0],[-1,0,3,-1,0,0],[-1,0,-1,4,0,-1],[0,0,0,0,4,-3],[0,0,0,-1,-3,4]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,5,16,4],[5,24,6,25],[17,6,18,7],[9,22,10,23],[19,10,20,11],[11,20,12,21],[21,12,22,13],[13,18,14,19],[23,14,24,15],[25,17,26,16]]"
13a_624,13,"[2,3]",4,False,97,4,1,-1,1,"[{""m1"":4,""m2"":10,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":19,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,0,0,1]","[[9,-1,0,-7],[-1,2,0,0],[0,0,3,-1],[-7,0,-1,8]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[17,5,18,4],[5,17,6,16],[19,8,20,9],[9,20,10,21],[21,10,22,11],[11,22,12,23],[23,12,24,13],[13,24,14,25],[25,14,26,15],[15,18,16,19]]"
13a_631,13,"[2,3]",4,False,153,4,1,-1,4,"[{""m1"":2,""m2"":26,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":51,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,26,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":14,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":27,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":5,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,5,0],[1,2,0,0],[5,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":14,""m2"":14,""a"":12,""two_m1_minus_1"":27,""two_m2_minus_1"":27,""matrix"":[[14,1,12,0],[1,2,0,0],[12,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,0,0,1]","[[7,-1,0,-5],[-1,2,0,0],[0,0,5,-3],[-5,0,-3,8]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[17,5,18,4],[5,17,6,16],[21,8,22,9],[9,22,10,23],[23,10,24,11],[11,24,12,25],[25,12,26,13],[13,18,14,19],[19,14,20,15],[15,20,16,21]]"
13a_636,13,"[2,3]",4,False,153,4,1,-1,4,"[{""m1"":2,""m2"":26,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":51,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,26,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":14,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":27,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":5,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,5,0],[1,2,0,0],[5,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":14,""m2"":14,""a"":12,""two_m1_minus_1"":27,""two_m2_minus_1"":27,""matrix"":[[14,1,12,0],[1,2,0,0],[12,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,0,0,1]","[[5,-1,0,-3],[-1,2,0,0],[0,0,7,-5],[-3,0,-5,8]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[17,5,18,4],[5,17,6,16],[23,8,24,9],[9,24,10,25],[25,10,26,11],[11,18,12,19],[19,12,20,13],[13,20,14,21],[21,14,22,15],[15,22,16,23]]"
13a_653,13,"[2,3]",4,False,149,7,1,-1,4,"[{""m1"":2,""m2"":26,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":51,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,26,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":2,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,2,0],[1,2,0,0],[2,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":12,""a"":7,""two_m1_minus_1"":15,""two_m2_minus_1"":23,""matrix"":[[8,1,7,0],[1,2,0,0],[7,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":38,""m2"":38,""a"":37,""two_m1_minus_1"":75,""two_m2_minus_1"":75,""matrix"":[[38,1,37,0],[1,2,0,0],[37,0,38,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,11,"[0,1,1,0,1,0,1]","[[6,-1,-2,0,0,0,-1],[-1,2,0,0,0,0,0],[-2,0,5,-1,0,0,0],[0,0,-1,2,-1,0,0],[0,0,0,-1,2,-1,0],[0,0,0,0,-1,2,-1],[-1,0,0,0,0,-1,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[17,4,18,5],[5,18,6,19],[9,7,10,6],[19,10,20,11],[11,24,12,25],[23,12,24,13],[13,22,14,23],[21,14,22,15],[15,20,16,21],[25,16,26,17]]"
13a_661,13,"[2,3]",4,False,233,7,1,-1,3,"[{""m1"":2,""m2"":40,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":79,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,40,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":14,""a"":4,""two_m1_minus_1"":11,""two_m2_minus_1"":27,""matrix"":[[6,1,4,0],[1,2,0,0],[4,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":20,""m2"":22,""a"":19,""two_m1_minus_1"":39,""two_m2_minus_1"":43,""matrix"":[[20,1,19,0],[1,2,0,0],[19,0,22,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,11,"[0,1,1,1,0,1,0]","[[6,-1,0,-2,0,-1,0],[-1,2,0,0,0,0,0],[0,0,3,0,0,0,-1],[-2,0,0,4,-1,0,-1],[0,0,0,-1,2,-1,0],[-1,0,0,0,-1,2,0],[0,0,-1,-1,0,0,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[17,4,18,5],[5,18,6,19],[9,7,10,6],[21,10,22,11],[11,24,12,25],[23,12,24,13],[13,22,14,23],[25,14,26,15],[15,20,16,21],[19,16,20,17]]"
13a_666,13,"[2,3]",4,False,157,7,1,-1,2,"[{""m1"":4,""m2"":12,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":40,""m2"":40,""a"":39,""two_m1_minus_1"":79,""two_m2_minus_1"":79,""matrix"":[[40,1,39,0],[1,2,0,0],[39,0,40,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,11,"[0,1,1,1,0,1,0]","[[6,-1,0,-3,0,0,0],[-1,2,0,0,0,0,0],[0,0,3,0,0,0,-1],[-3,0,0,4,-1,0,0],[0,0,0,-1,2,-1,0],[0,0,0,0,-1,2,-1],[0,0,-1,0,0,-1,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[17,4,18,5],[5,18,6,19],[9,7,10,6],[23,10,24,11],[11,24,12,25],[25,12,26,13],[13,22,14,23],[21,14,22,15],[15,20,16,21],[19,16,20,17]]"
13a_670,13,"[2,3]",4,False,177,5,1,-1,2,"[{""m1"":2,""m2"":30,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":59,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,30,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":16,""m2"":16,""a"":14,""two_m1_minus_1"":31,""two_m2_minus_1"":31,""matrix"":[[16,1,14,0],[1,2,0,0],[14,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,1,0,0]","[[8,-1,-5,-1,0],[-1,2,0,0,0],[-5,0,7,-1,0],[-1,0,-1,3,-1],[0,0,0,-1,2]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[17,4,18,5],[5,20,6,21],[11,7,12,6],[9,19,10,18],[19,11,20,10],[21,12,22,13],[13,22,14,23],[23,14,24,15],[15,24,16,25],[25,16,26,17]]"
13a_721,13,"[2,3]",4,False,237,5,1,-1,4,"[{""m1"":2,""m2"":40,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":79,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,40,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":20,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":39,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,20,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":2,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,2,0],[1,2,0,0],[2,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":60,""m2"":60,""a"":59,""two_m1_minus_1"":119,""two_m2_minus_1"":119,""matrix"":[[60,1,59,0],[1,2,0,0],[59,0,60,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,0,1]","[[7,-1,0,-1,-4],[-1,2,0,0,0],[0,0,3,-1,-1],[-1,0,-1,4,-2],[-4,0,-1,-2,7]]","[[3,1,4,26],[1,10,2,11],[9,2,10,3],[11,5,12,4],[5,21,6,20],[13,6,14,7],[7,14,8,15],[21,9,22,8],[19,12,20,13],[15,22,16,23],[23,16,24,17],[17,24,18,25],[25,18,26,19]]"
13a_743,13,"[2,3]",4,False,301,6,1,-1,3,"[{""m1"":4,""m2"":22,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":43,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,22,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":16,""m2"":18,""a"":14,""two_m1_minus_1"":31,""two_m2_minus_1"":35,""matrix"":[[16,1,14,0],[1,2,0,0],[14,0,18,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":76,""m2"":76,""a"":75,""two_m1_minus_1"":151,""two_m2_minus_1"":151,""matrix"":[[76,1,75,0],[1,2,0,0],[75,0,76,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,10,"[0,0,1,0,1,0]","[[3,-1,-1,0,0,0],[-1,2,0,0,0,0],[-1,0,6,-1,0,-3],[0,0,-1,2,-1,0],[0,0,0,-1,4,-2],[0,0,-3,0,-2,5]]","[[3,1,4,26],[1,9,2,8],[9,3,10,2],[11,4,12,5],[5,16,6,17],[15,6,16,7],[7,12,8,13],[25,10,26,11],[13,20,14,21],[21,14,22,15],[17,22,18,23],[23,18,24,19],[19,24,20,25]]"
13a_798,13,"[2,3]",4,False,277,5,1,-1,2,"[{""m1"":6,""m2"":16,""a"":4,""two_m1_minus_1"":11,""two_m2_minus_1"":31,""matrix"":[[6,1,4,0],[1,2,0,0],[4,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":70,""m2"":70,""a"":69,""two_m1_minus_1"":139,""two_m2_minus_1"":139,""matrix"":[[70,1,69,0],[1,2,0,0],[69,0,70,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,0,1]","[[5,-1,0,-1,-2],[-1,2,0,0,0],[0,0,5,-1,-3],[-1,0,-1,4,-2],[-2,0,-3,-2,7]]","[[3,1,4,26],[1,10,2,11],[9,2,10,3],[11,5,12,4],[5,23,6,22],[15,6,16,7],[7,16,8,17],[23,9,24,8],[19,12,20,13],[13,20,14,21],[21,14,22,15],[17,24,18,25],[25,18,26,19]]"
13a_819,13,"[2,3]",4,False,249,6,1,-1,4,"[{""m1"":2,""m2"":42,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":83,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":1,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,1,0],[1,2,0,0],[1,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":10,""a"":3,""two_m1_minus_1"":15,""two_m2_minus_1"":19,""matrix"":[[8,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":22,""m2"":22,""a"":20,""two_m1_minus_1"":43,""two_m2_minus_1"":43,""matrix"":[[22,1,20,0],[1,2,0,0],[20,0,22,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,10,"[0,0,1,0,1,0]","[[3,-1,-1,0,0,0],[-1,2,0,0,0,0],[-1,0,4,-1,0,-1],[0,0,-1,2,-1,0],[0,0,0,-1,6,-4],[0,0,-1,0,-4,5]]","[[3,1,4,26],[1,9,2,8],[9,3,10,2],[11,4,12,5],[5,18,6,19],[17,6,18,7],[7,12,8,13],[25,10,26,11],[13,20,14,21],[21,14,22,15],[15,22,16,23],[23,16,24,17],[19,24,20,25]]"
13a_861,13,"[2,3]",4,False,157,5,1,-1,2,"[{""m1"":4,""m2"":12,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":40,""m2"":40,""a"":39,""two_m1_minus_1"":79,""two_m2_minus_1"":79,""matrix"":[[40,1,39,0],[1,2,0,0],[39,0,40,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,0,1]","[[3,-1,0,-1,0],[-1,2,0,0,0],[0,0,7,-1,-5],[-1,0,-1,4,-2],[0,0,-5,-2,7]]","[[3,1,4,26],[1,10,2,11],[9,2,10,3],[11,5,12,4],[5,25,6,24],[17,6,18,7],[7,18,8,19],[25,9,26,8],[19,12,20,13],[13,20,14,21],[21,14,22,15],[15,22,16,23],[23,16,24,17]]"
13a_1051,13,"[2,3]",4,False,357,7,1,-1,4,"[{""m1"":2,""m2"":60,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":119,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,60,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":26,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":51,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,26,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":10,""a"":1,""two_m1_minus_1"":19,""two_m2_minus_1"":19,""matrix"":[[10,1,1,0],[1,2,0,0],[1,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":90,""m2"":90,""a"":89,""two_m1_minus_1"":179,""two_m2_minus_1"":179,""matrix"":[[90,1,89,0],[1,2,0,0],[89,0,90,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,11,"[0,1,1,0,1,1,0]","[[4,-1,-1,0,0,0,0],[-1,2,0,0,0,0,0],[-1,0,4,-1,0,0,-1],[0,0,-1,3,-1,-1,0],[0,0,0,-1,3,0,-1],[0,0,0,-1,0,2,0],[0,0,-1,0,-1,0,2]]","[[3,1,4,26],[1,10,2,11],[9,2,10,3],[13,4,14,5],[5,16,6,17],[19,6,20,7],[7,22,8,23],[11,9,12,8],[25,12,26,13],[21,14,22,15],[15,20,16,21],[17,24,18,25],[23,18,24,19]]"
