knot,interval,det,signature,status,mG0,Qe_params
12a_967,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
12a_985,"[2, 3]",157,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 12, 1, 7, 23], [40, 40, 39, 79, 79]]"
12a_988,"[2, 3]",125,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 22, 1, 3, 43], [4, 12, 3, 7, 23], [8, 8, 5, 15, 15], [32, 32, 31, 63, 63]]"
12a_1031,"[2, 3]",97,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 10, 3, 7, 19]]"
12a_1099,"[2, 3]",217,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 16, 0, 7, 31], [6, 12, 3, 11, 23], [10, 10, 6, 19, 19]]"
12a_1107,"[2, 3]",113,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 20, 1, 3, 39], [10, 12, 9, 19, 23]]"
12a_1115,"[2, 4]",165,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 28, 0, 3, 55], [6, 8, 0, 11, 15], [10, 10, 7, 19, 19], [42, 42, 41, 83, 83]]"
12a_1116,"[2, 4]",185,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 32, 1, 3, 63], [4, 14, 1, 7, 27], [8, 10, 5, 15, 19], [16, 18, 15, 31, 35]]"
12a_1210,"[2, 3]",165,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 28, 0, 3, 55], [6, 8, 0, 11, 15], [10, 10, 7, 19, 19], [42, 42, 41, 83, 83]]"
12a_1278,"[2, 3]",41,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 8, 1, 3, 15], [4, 6, 3, 7, 11]]"
12a_1286,"[2, 3]",45,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 8, 0, 3, 15], [4, 4, 1, 7, 7], [12, 12, 11, 23, 23]]"
13a_16,"[2, 3]",177,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 30, 0, 3, 59], [16, 16, 14, 31, 31]]"
13a_48,"[2, 3]",197,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 34, 1, 3, 67], [6, 14, 5, 11, 27], [50, 50, 49, 99, 99]]"
13a_82,"[2, 3]",137,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 24, 1, 3, 47], [12, 14, 11, 23, 27]]"
13a_112,"[2, 3]",345,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 58, 0, 3, 115], [8, 12, 0, 15, 23], [10, 10, 2, 19, 19], [30, 30, 28, 59, 59]]"
13a_123,"[2, 3]",345,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 58, 0, 3, 115], [8, 12, 0, 15, 23], [10, 10, 2, 19, 19], [30, 30, 28, 59, 59]]"
13a_162,"[2, 3]",281,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 48, 1, 3, 95], [8, 10, 1, 15, 19], [6, 14, 2, 11, 27], [8, 12, 4, 15, 23], [24, 26, 23, 47, 51]]"
13a_174,"[2, 3]",229,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 18, 2, 7, 35], [12, 16, 11, 23, 31], [58, 58, 57, 115, 115]]"
