class_id,count,jones_vector,alexander_vector,computed_volume,solution_type,snappy_identifications,compact_jones_matches,exact_invariant_matches,exact_u1_jones_matches,sample_representative_index,sample_crossing_index_1based,sample_switched_pd
J1,68,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[0,6,1,-3,6,-7,6,-3,1]",8.651148558017,all tetrahedra positively oriented,"[""o9_43874(0,0)"",""8_10(0,0)"",""K9_758(0,0)"",""K8a3(0,0)""]","[""8_10""]","[""8_10""]",[],0,2,"[[22,20,1,19],[22,5,21,4],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
J2,68,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[0,6,1,-4,9,-11,9,-4,1]",5.693024087410,contains degenerate tetrahedra,[],"[""13n_585""]",[],"[""13n_585""]",0,4,"[[22,20,1,19],[4,22,5,21],[10,5,11,6],[1,9,2,8],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
J3,34,"[-5,3,-1,2,-3,4,-4,5,-3,2,-1]","[0,4,2,-6,9,-6,2]",7.801341224440,all tetrahedra positively oriented,"[""o9_37770(0,0)"",""8_8(0,0)"",""K9_596(0,0)"",""K8a4(0,0)"",""ribbon_1_8_36e44393(0,0)""]","[""8_8"",""10_129""]","[""8_8""]","[""10_129""]",0,1,"[[20,1,19,22],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
J4,17,"[-2,6,-1,3,-4,6,-6,6,-5,3,-1]","[0,6,1,-4,8,-9,8,-4,1]",10.579021916899,all tetrahedra positively oriented,"[""8_16(0,0)"",""K8a15(0,0)""]","[""8_16"",""10_156""]","[""8_16""]","[""10_156""]",0,3,"[[22,20,1,19],[4,22,5,21],[5,11,6,10],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
